Tools,Runtime,Virtual Mem (G)
bowtie2,1:53:39,5.398
bowtie,1:42:21,5.395
bwa,1:10:43,4.448
erne,6:52:25,12.956
gsnap,1:08:32,19.561
hisat2,1:07:14,5.394
last,0:55:16,28.148
MOSAIK,0:01:09,6.688
novoalign,0:12:45,9.061
segemehl,1:26:45,57.773
smalt,0:01:58,6.668
snap,4:04:26,39.313
soapsplice,0:56:13,6.005
STAR,1:30:01,33.477
subread,0:18:53,6.853
tophat2,1:40:46,5.398
blat,,
blasr,,
exonerate,,
graphmap,,
minialign,,
minimap2,,
mummer,,
nanoblaster,,
ngmlr,,
ngm,,
rmap,,
shrimp,,
splazers,,
